ลำดับ,รหัสสินค้า,ชื่อรุ่นสินค้า,ชิปเซ็ต,หน่วยความจำ (VRAM),ราคา,ลิงก์สินค้า,TDP (W)
32,JIB-VGA-10038,VGA (SAPPHIRE) SAPPHIRE NITRO+ AMD RADEON RX 7800 XT 16GB - 16GB GDDR6,AMD,16 GB GDDR6,"19,200",https://www.jib.co.th/web/product/readProduct/62759/42/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--SAPPHIRE-NITRO--AMD-RADEON-RX-7800-XT-16GB---16GB-GDDR6?srsltid=AU7gw4Xxp_5Yo9KhWpiZhjH_C3k5LUIJNaTZnW8qlsoAsiMRST3sC5q6,266
33,JIB-VGA-10039,VGA (GALAX) GALAX GEFORCE RTX 4060 TI 8GB 1-CLICK OC - 8GB GDDR6,NVIDIA,8 GB GDDR6,"15,500",https://www.jib.co.th/web/product/readProduct/59808/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--GALAX-GEFORCE-RTX-4060-TI-8GB-1-CLICK-OC---8GB-GDDR6?srsltid=AU7gw4W75Qn_PlHku8CCsHuHPyLHdf1JUr2nuFM07EwJK2VumJT8DyP2,160
34,JIB-VGA-10040,VGA (ASUS) ASUS DUAL RADEON RX 9060 XT 16GB GDDR6,AMD,16 GB GDDR6,"23,990",https://www.jib.co.th/web/product/readProduct/87358/51/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--ASUS-DUAL-RADEON-RX-9060-XT-16GB-GDDR6?srsltid=AU7gw4X2w1kDXyfSzFpuW8mtEq2n3ny6_GGdXYdutrb500FVMosG0gqy,182
35,JIB-VGA-10041,VGA (GIGABYTE) GIGABYTE GEFORCE RTX 3050 WINDFORCE OC 6G - 6GB GDDR6,NVIDIA,6 GB GDDR6,"7,490",https://www.jib.co.th/web/product/readProduct/66808/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--GIGABYTE-GEFORCE-RTX-3050-WINDFORCE-OC-6G---6GB-GDDR6--GV-N3050WF2OC-6GD-?srsltid=AU7gw4Wyyo8IoMSTSGZTQ5GBChBPhPkgxFONeocEb_zEQFRG4lflxsRK,70
36,JIB-VGA-10042,VGA (SAPPHIRE) SAPPHIRE PURE AMD RADEON RX 7700 XT 12GB - 12GB GDDR6 (WHITE),AMD,12 GB GDDR6,"17,300",https://www.jib.co.th/web/product/readProduct/74052/2629/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--SAPPHIRE-PURE-AMD-RADEON-RX-7700-XT-12GB---12GB-GDDR6--WHITE-?srsltid=AU7gw4WOQZ2QMkh92hCqTISB7XRpDYlJhckqhOGm1o1d8xXO8bFhtPD4,245
37,JIB-VGA-10043,VGA (ASUS) ASUS TUF GAMING GEFORCE RTX 5090 32GB GDDR7 OC EDITION,NVIDIA,32GB GDDR7,"199,990",https://www.jib.co.th/web/product/readProduct/76514/ASUS-TUF-GAMING-GEFORCE-RTX-5090-32GB-GDDR7-OC-EDITION,575
38,JIB-VGA-10044,VGA (ASUS) ASUS PRIME RADEON RX 9070 XT OC EDITION 16GB GDDR6,AMD,16 GB GDDR6,"26,600",https://www.jib.co.th/web/product/readProduct/74915/51/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--ASUS-PRIME-RADEON-RX-9070-XT-OC-EDITION-16GB-GDDR6--PRIME-RX9070XT-O16G-?srsltid=AU7gw4W-Xy7oOCyu5QQXPrNIyYlJqU0BlCVaVc_ULg8NjmrVkcsK3EY0,304
39,JIB-VGA-10045,VGA (ASUS) ASUS PRIME GEFORCE RTX 5070 TI 16GB GDDR7 OC EDITION,NVIDIA,16 GB GDDR7,41900,https://www.jib.co.th/web/product/readProduct/74541/51/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--ASUS-PRIME-GEFORCE-RTX-5070-TI-16GB-GDDR7-OC-EDITION--PRIME-RTX5070TI-O16G-?srsltid=AU7gw4XoiDwQ4KCk2KU8CwRtK7Ch51zYhc5auKGeLL0MpcfqXrglAQ_2,300
40,JIB-VGA-10046,VGA (GALAX) GALAX GEFORCE RTX 5080 1-CLICK OC - 16GB GDDR7,NVIDIA,16 GB GDDR7,"59,900",https://www.jib.co.th/web/product/readProduct/73908/2988/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--GALAX-GEFORCE-RTX-5080-1-CLICK-OC---16GB-GDDR7?srsltid=AU7gw4VnYyaxaO8mTbgeu0K5dCwWp02qvams6r6CjW3CinXNY96jzebe,360
41,JIB-VGA-10049,VGA (GIGABYTE) GIGABYTE GEFORCE RTX 5070 GAMING OC 12G - 12GB GDDR7,NVIDIA,12 GB GDDR7,"31,200",https://www.jib.co.th/web/product/readProduct/74869/51/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--GIGABYTE-GEFORCE-RTX-5070-GAMING-OC-12G---12GB-GDDR7?srsltid=AU7gw4Vw9MCtoMIaYui-lpozpQir6c7hWCHzLYkzA1LzfSwiZDesr003,250
42,JIB-VGA-10050,VGA (GIGABYTE) GIGABYTE GEFORCE RTX 5060 WINDFORCE MAX OC 8G - 8GB GDDR7,NVIDIA,8 GB GDDR7,"15,900",https://www.jib.co.th/web/product/readProduct/82934/2988/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--GIGABYTE-GEFORCE-RTX-5060-WINDFORCE-MAX-OC-8G---8GB-GDDR7?srsltid=AU7gw4X1vf6I8nwBiKRuHnH9m9qobqgVFjFPUt7Kc_6vohMQ9a58q7fA,145
